delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,1.5200000000000011,8.095070600509644,"[308.849749774659, 410.6423635981874]","[321.9816245723197, 414.5779451921288]","[328.29664838587126, 98.38918196898443]",False,True
0.01,1.5300000000000011,8.149224281311035,"[312.1046512951379, 411.56988896053]","[325.1242677592645, 415.280008647694]","[325.49015204788844, 92.75253623426093]",False,True
0.01,1.5400000000000011,8.204044580459595,"[315.395272782397, 412.4939220987375]","[328.55777071878515, 416.1900777486365]","[329.0621487259107, 92.40331382075246]",False,True
0.01,1.5500000000000012,8.257993221282959,"[318.6508765737673, 413.3746078341449]","[331.6733054347068, 416.89738006849325]","[325.56037913702744, 88.06857354073627]",False,True
0.01,1.5600000000000012,8.31197190284729,"[321.94221185283635, 414.25463574070005]","[335.1075683934988, 417.7747842604428]","[329.1335279069065, 88.00279065551477]",False,True
0.01,1.5700000000000012,8.367077112197876,"[325.1924272170484, 415.1047619293184]","[338.19330581554897, 418.50531313351104]","[325.02153642120646, 85.0126188618345]",False,True
0.01,1.5800000000000012,8.421150207519531,"[328.4788797639726, 415.9563744183603]","[341.6247085938789, 419.3628823942295]","[328.64525469241545, 85.16124890419258]",False,True
0.01,1.5900000000000012,8.476024866104126,"[331.7190264373695, 416.79141239510096]","[344.67963289285797, 420.13163656321507]","[324.0146673396879, 83.50379767406156]",False,True
0.01,1.6000000000000012,8.530091762542725,"[334.9964348167602, 417.62916773790323]","[348.10608852362986, 420.98027822838407]","[327.74083793906834, 83.77553428022544]",False,True
0.01,1.6100000000000012,8.58407473564148,"[338.22332263747165, 418.463013174922]","[351.13089347034725, 421.7985040750477]","[322.68878207114375, 83.38454370188227]",False,True
0.01,1.6200000000000012,8.63804841041565,"[341.48897463413226, 419.2997538977828]","[354.55160013128574, 422.64684876579287]","[326.5651996660593, 83.67407228607712]",False,True
0.01,1.6300000000000012,8.691978454589844,"[344.70090428966034, 420.144085738032]","[357.54863635635485, 423.52157071443065]","[321.1929655528054, 84.43318402492055]",False,True
0.01,1.6400000000000012,8.74594521522522,"[347.95347030918305, 420.9903940254121]","[360.9637414537977, 424.3758124471393]","[325.25660195226953, 84.63082873801163]",False,True
0.01,1.6500000000000012,8.801029205322266,"[351.15015071172735, 421.85420982905055]","[363.9368701330936, 425.3096866979897]","[319.66804025443076, 86.38158036384276]",False,True
