delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,1.1500000000000008,6.9760401248931885,"[331.2979843301521, 325.2538577128282]","[333.73705467770446, 327.7879312737795]","[243.9070348205987, 253.40735616277968]",False,True
0.01,1.1600000000000008,7.033826112747192,"[333.7465560064593, 327.66418353502604]","[336.19512768299535, 330.0745093574515]","[244.85716763072213, 241.03258221978086]",False,True
0.01,1.1700000000000008,7.093826055526733,"[336.1560052091667, 330.2235022518882]","[338.5654544131242, 332.7828209700141]","[240.9449202707423, 255.93187168621677]",False,True
0.01,1.1800000000000008,7.153869152069092,"[338.5928708726261, 332.65951993735285]","[341.02973653583217, 335.09553762257104]","[243.68656634593822, 243.60176854646673]",False,True
0.01,1.1900000000000008,7.214266300201416,"[340.97098480690636, 335.2483595773094]","[343.3490987411866, 337.8371992172659]","[237.8113934280225, 258.8839639956524]",False,True
0.01,1.2000000000000008,7.27592921257019,"[343.39372768185905, 337.7148387819014]","[345.8164705573788, 340.18131798703604]","[242.27428749527135, 246.64792045920305]",False,True
0.01,1.2100000000000009,7.336584091186523,"[345.7404771492168, 340.33609638983876]","[348.0872266165746, 342.95735399777607]","[234.6749467357776, 262.1257607937347]",False,True
0.01,1.2200000000000009,7.397129058837891,"[348.1478637861304, 342.8360867953464]","[350.5552504220834, 345.33607719994416]","[240.7386636913614, 249.99904055076172]",False,True
0.01,1.2300000000000009,7.456845283508301,"[350.4649969091959, 345.4910388714625]","[352.7821300322614, 348.1459909475785]","[231.71331230654823, 265.4952076116075]",False,True
0.01,1.2400000000000009,7.516901254653931,"[352.85711510067364, 348.02571106037215]","[355.2492332920539, 350.56038324919035]","[239.21181914777134, 253.46721889096455]",False,True
0.01,1.2500000000000009,7.577932119369507,"[355.1481510987647, 350.71386950335767]","[357.4391870968557, 353.40202794634314]","[229.10359980910212, 268.81584429855025]",False,True
0.01,1.260000000000001,7.637977123260498,"[357.5264514729406, 353.282495896733]","[359.9047518471165, 355.8511222901083]","[237.8300374175912, 256.8626393375321]",False,True
0.01,1.270000000000001,7.699120283126831,"[359.796573318982, 356.0015761586327]","[362.06669516502336, 358.7206564205324]","[227.0121846041393, 271.9080261899698]",False,True
0.01,1.280000000000001,7.760303258895874,"[362.1638172223639, 358.6016426333293]","[364.53106112574585, 361.20170910802585]","[236.7243903381911, 260.00664746965714]",False,True
0.01,1.290000000000001,7.8216071128845215,"[364.4196674680093, 361.34764861629725]","[366.67551771365476, 364.09365459926516]","[225.585024564546, 274.60059829679676]",False,True
0.01,1.300000000000001,7.881951093673706,"[366.77979190904824, 363.9750757556311]","[369.13991635008716, 366.6025028949649]","[236.01244410389347, 262.742713933384]",False,True
0.01,1.310000000000001,7.9429802894592285,"[369.02918259551467, 366.74249545249717]","[371.27857328198115, 369.5099151493633]","[224.93906864664214, 276.74196968660635]",False,True
